{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.44, 'datetime': '2018-11-26 12:40:52.218754', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.67, 'compass': -38.44, 'pitch': 2.49, 'roll': -5.68}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.4, 'datetime': '2018-11-26 12:40:52.428805', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.88, 'compass': -38.4, 'pitch': 2.12, 'roll': -5.71}
{'lipoC2': 7.41, 'temp': 30.25, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.35, 'datetime': '2018-11-26 12:40:52.638016', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.08, 'compass': -38.35, 'pitch': 1.55, 'roll': -5.64}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.29, 'datetime': '2018-11-26 12:40:52.846799', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.29, 'compass': -38.3, 'pitch': 1.01, 'roll': -5.58}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.25, 'datetime': '2018-11-26 12:40:53.056520', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.5, 'compass': -38.26, 'pitch': 0.59, 'roll': -5.43}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.23, 'datetime': '2018-11-26 12:40:53.264057', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.71, 'compass': -38.23, 'pitch': 0.32, 'roll': -5.17}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.22, 'datetime': '2018-11-26 12:40:53.473283', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.92, 'compass': -38.23, 'pitch': 0.26, 'roll': -5.03}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -4.24, 'datetime': '2018-11-26 12:40:53.684621', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.13, 'compass': -38.25, 'pitch': 0.5, 'roll': -5.04}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.28, 'datetime': '2018-11-26 12:40:53.891587', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.34, 'compass': -38.28, 'pitch': 0.91, 'roll': -5.17}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.32, 'datetime': '2018-11-26 12:40:54.099604', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.55, 'compass': -38.32, 'pitch': 1.35, 'roll': -5.39}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.35, 'datetime': '2018-11-26 12:40:54.309452', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.76, 'compass': -38.36, 'pitch': 1.7, 'roll': -5.6}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.37, 'datetime': '2018-11-26 12:40:54.518039', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.97, 'compass': -38.37, 'pitch': 1.93, 'roll': -5.6}
