{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:51.316787', 'pitch': -1.46, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -179.88, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 11.34, 'thr2': 31.0, 'yaw': -4.83, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:51.640573', 'pitch': -1.42, 'rot1': 4, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.62, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -177.84, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 11.66, 'thr2': 31.0, 'yaw': -2.8, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:51.962980', 'pitch': -1.4, 'rot1': 5, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.58, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -177.56, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 11.98, 'thr2': 31.0, 'yaw': -2.51, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:52.283256', 'pitch': -1.39, 'rot1': 5, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.6, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -177.78, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 12.31, 'thr2': 31.0, 'yaw': -2.73, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:52.603406', 'pitch': -1.4, 'rot1': 5, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.58, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -177.94, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 12.63, 'thr2': 31.0, 'yaw': -2.89, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:52.925154', 'pitch': -1.31, 'rot1': 5, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.59, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -179.02, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.139, 'time': 12.95, 'thr2': 31.0, 'yaw': -3.97, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:53.244066', 'pitch': -1.29, 'rot1': 5, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.66, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -179.31, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 13.27, 'thr2': 31.0, 'yaw': -4.26, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:53.570192', 'pitch': -1.28, 'rot1': 5, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.68, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -179.95, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 13.59, 'thr2': 31.0, 'yaw': -4.9, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:53.888403', 'pitch': -1.23, 'rot1': 6, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.65, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -179.55, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 13.91, 'thr2': 31.0, 'yaw': -4.5, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:54.211803', 'pitch': -1.31, 'rot1': 6, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.7, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -179.72, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 14.23, 'thr2': 31.0, 'yaw': -4.67, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:54.537698', 'pitch': -1.29, 'rot1': 7, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.71, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -179.92, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 14.56, 'thr2': 31.0, 'yaw': -4.87, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:54.859066', 'pitch': -1.31, 'rot1': 7, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.75, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 179.64, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 14.88, 'thr2': 31.0, 'yaw': -5.31, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:55.173708', 'pitch': -1.14, 'rot1': 7, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.72, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 179.99, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.139, 'time': 15.2, 'thr2': 31.0, 'yaw': -4.97, 'thr0': 26.0, 'thr1': 27.0}
