{'lipoC2': 7.07, 'temp': 0.0, 'lipoC3S3': 11.05, 'state': 'normal', 'rot1': 43, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -31.52, 'datetime': '2018-12-12 14:49:02.867412', 'mgs': 0, 'flw2': 3.67, 'flw1': 0.0, 'flw0': 2.95, 'time': 10.62, 'compass': 51.15, 'pitch': 1.49, 'roll': -1.77}
{'lipoC2': 7.07, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 45, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -31.84, 'datetime': '2018-12-12 14:49:03.078153', 'mgs': 0, 'flw2': 3.38, 'flw1': 0.0, 'flw0': 3.15, 'time': 10.83, 'compass': 50.83, 'pitch': 1.87, 'roll': -1.8}
{'lipoC2': 7.13, 'temp': 0.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 47, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -32.12, 'datetime': '2018-12-12 14:49:03.286602', 'mgs': 0, 'flw2': 3.3, 'flw1': 0.0, 'flw0': 3.08, 'time': 11.04, 'compass': 50.56, 'pitch': 2.13, 'roll': -1.71}
{'lipoC2': 7.54, 'temp': 0.0, 'lipoC3S3': 11.02, 'state': 'normal', 'rot1': 50, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -32.38, 'datetime': '2018-12-12 14:49:03.496688', 'mgs': 0, 'flw2': 3.52, 'flw1': 0.0, 'flw0': 3.11, 'time': 11.25, 'compass': 50.3, 'pitch': 2.12, 'roll': -1.65}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 10.9, 'state': 'normal', 'rot1': 52, 'rot0': 47, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -32.53, 'datetime': '2018-12-12 14:49:03.707573', 'mgs': 0, 'flw2': 4.13, 'flw1': 0.0, 'flw0': 2.97, 'time': 11.45, 'compass': 50.15, 'pitch': 1.93, 'roll': -1.75}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 10.96, 'state': 'normal', 'rot1': 54, 'rot0': 50, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': -32.22, 'datetime': '2018-12-12 14:49:03.914604', 'mgs': 0, 'flw2': 4.68, 'flw1': 0.0, 'flw0': 2.75, 'time': 11.66, 'compass': 50.46, 'pitch': 1.96, 'roll': -1.69}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 10.92, 'state': 'normal', 'rot1': 56, 'rot0': 53, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -31.64, 'datetime': '2018-12-12 14:49:04.123118', 'mgs': 0, 'flw2': 4.48, 'flw1': 0.23, 'flw0': 2.67, 'time': 11.87, 'compass': 51.04, 'pitch': 2.42, 'roll': -1.66}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 59, 'rot0': 56, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -30.82, 'datetime': '2018-12-12 14:49:04.331255', 'mgs': 0, 'flw2': 4.7, 'flw1': 0.56, 'flw0': 2.92, 'time': 12.08, 'compass': 51.85, 'pitch': 2.76, 'roll': -1.65}
{'lipoC2': 7.13, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 61, 'rot0': 59, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': -29.67, 'datetime': '2018-12-12 14:49:04.539657', 'mgs': 0, 'flw2': 4.47, 'flw1': 0.47, 'flw0': 3.08, 'time': 12.29, 'compass': 53.0, 'pitch': 2.75, 'roll': -1.52}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 63, 'rot0': 62, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': -28.2, 'datetime': '2018-12-12 14:49:04.752661', 'mgs': 0, 'flw2': 4.59, 'flw1': 0.44, 'flw0': 2.94, 'time': 12.5, 'compass': 54.48, 'pitch': 2.79, 'roll': -1.34}
