{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:31.925103', 'pitch': 174.91, 'rot1': 0, 'rot0': 121, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 11.35, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:32.247957', 'pitch': 174.91, 'rot1': 0, 'rot0': 129, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 11.68, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:32.569391', 'pitch': 174.91, 'rot1': 0, 'rot0': 134, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.13, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 12.0, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:32.887642', 'pitch': 174.91, 'rot1': 0, 'rot0': 138, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.13, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 12.32, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:33.211148', 'pitch': 174.91, 'rot1': 0, 'rot0': 142, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.11, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 12.64, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:33.535634', 'pitch': 174.91, 'rot1': 0, 'rot0': 146, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.11, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 12.96, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:33.857915', 'pitch': 174.91, 'rot1': 0, 'rot0': 149, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 13.28, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:34.179756', 'pitch': 174.91, 'rot1': 0, 'rot0': 153, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.11, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 13.6, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:34.502022', 'pitch': 174.91, 'rot1': 0, 'rot0': 157, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.18, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 13.93, 'thr2': 30.0, 'yaw': 0.0, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:34.823785', 'pitch': 174.91, 'rot1': 0, 'rot0': 160, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.13, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 14.25, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 25.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:35.146335', 'pitch': 174.93, 'rot1': 0, 'rot0': 163, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.21, 'cur2': 0.18, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.04, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 14.57, 'thr2': 30.0, 'yaw': -0.01, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:35.467707', 'pitch': 174.9, 'rot1': 0, 'rot0': 166, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.2, 'cur2': 0.17, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.06, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 14.89, 'thr2': 30.0, 'yaw': 0.01, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:35.788908', 'pitch': 174.93, 'rot1': 0, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.21, 'cur2': 0.18, 'cur0': 0.13, 'cur1': 0.0, 'mgs': 0, 'compass': 11.04, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 15.21, 'thr2': 30.0, 'yaw': -0.01, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:36.110494', 'pitch': 174.93, 'rot1': 0, 'rot0': 178, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.21, 'cur2': 0.17, 'cur0': 0.13, 'cur1': 0.0, 'mgs': 0, 'compass': 11.04, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 15.53, 'thr2': 30.0, 'yaw': -0.01, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:36.432020', 'pitch': 174.93, 'rot1': 0, 'rot0': 184, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.21, 'cur2': 0.18, 'cur0': 0.12, 'cur1': 0.0, 'mgs': 0, 'compass': 11.04, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 15.85, 'thr2': 30.0, 'yaw': -0.01, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:42:36.754654', 'pitch': 174.93, 'rot1': 0, 'rot0': 185, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -81.21, 'cur2': 0.17, 'cur0': 0.15, 'cur1': 0.0, 'mgs': 0, 'compass': 11.04, 'lipoC2': 0.0, 'temp': 25.52, 'thr3': 31.0, 'depth': 0.159, 'time': 16.18, 'thr2': 30.0, 'yaw': -0.01, 'thr0': 26.0, 'thr1': 26.0}
