{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.7, 'state': 'normal', 'rot1': 47, 'rot0': 91, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 85.53, 'datetime': '2018-12-18 17:13:28.778899', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.21, 'flw0': 0.05, 'time': 10.75, 'compass': -10.72, 'pitch': -0.87, 'roll': 3.16}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 48, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 85.2, 'datetime': '2018-12-18 17:13:28.988566', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.0, 'flw0': 0.43, 'time': 10.96, 'compass': -11.05, 'pitch': -0.36, 'roll': 3.15}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 50, 'rot0': 93, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 85.63, 'datetime': '2018-12-18 17:13:29.204098', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.18, 'flw0': 0.0, 'time': 11.16, 'compass': -10.62, 'pitch': -0.34, 'roll': 3.18}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.68, 'state': 'normal', 'rot1': 51, 'rot0': 95, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 86.72, 'datetime': '2018-12-18 17:13:29.406563', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.29, 'flw0': 0.12, 'time': 11.37, 'compass': -9.53, 'pitch': -0.93, 'roll': 3.33}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.68, 'state': 'normal', 'rot1': 52, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 88.32, 'datetime': '2018-12-18 17:13:29.614445', 'mgs': 0, 'flw2': 0.46, 'flw1': 0.35, 'flw0': 0.0, 'time': 11.58, 'compass': -7.93, 'pitch': -1.29, 'roll': 3.47}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': 90.26, 'datetime': '2018-12-18 17:13:29.823694', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.59, 'flw0': 0.0, 'time': 11.79, 'compass': -5.99, 'pitch': -0.97, 'roll': 3.47}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 91.9, 'datetime': '2018-12-18 17:13:30.040712', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 12.0, 'compass': -4.35, 'pitch': -0.64, 'roll': 3.29}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 93.38, 'datetime': '2018-12-18 17:13:30.248413', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.0, 'flw0': 0.11, 'time': 12.21, 'compass': -2.87, 'pitch': -0.9, 'roll': 3.28}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': 94.66, 'datetime': '2018-12-18 17:13:30.454957', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 12.42, 'compass': -1.59, 'pitch': -1.31, 'roll': 3.31}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 53, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 95.9, 'datetime': '2018-12-18 17:13:30.666430', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.1, 'time': 12.63, 'compass': -0.35, 'pitch': -1.35, 'roll': 3.33}
