{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 46, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 95.05, 'datetime': '2018-12-18 17:02:28.484399', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.0, 'flw0': 0.17, 'time': 11.47, 'compass': 2.79, 'pitch': 1.36, 'roll': 3.16}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 46, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 96.52, 'datetime': '2018-12-18 17:02:28.694367', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.02, 'time': 11.68, 'compass': 4.26, 'pitch': 1.46, 'roll': 3.16}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 46, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -2.277, 'yaw': 97.93, 'datetime': '2018-12-18 17:02:28.903081', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.89, 'compass': 5.67, 'pitch': 1.36, 'roll': 3.25}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.46, 'state': 'normal', 'rot1': 46, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 99.07, 'datetime': '2018-12-18 17:02:29.112639', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.0, 'flw0': 0.52, 'time': 12.1, 'compass': 6.81, 'pitch': 1.34, 'roll': 3.21}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 47, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': -2.353, 'yaw': 99.24, 'datetime': '2018-12-18 17:02:29.322524', 'mgs': 0, 'flw2': 0.35, 'flw1': 0.47, 'flw0': 0.38, 'time': 12.31, 'compass': 6.98, 'pitch': 1.45, 'roll': 2.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.56, 'state': 'normal', 'rot1': 48, 'rot0': 42, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 98.65, 'datetime': '2018-12-18 17:02:29.532212', 'mgs': 0, 'flw2': 0.56, 'flw1': 0.0, 'flw0': 0.31, 'time': 12.52, 'compass': 6.39, 'pitch': 1.58, 'roll': 2.88}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.64, 'state': 'normal', 'rot1': 50, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 97.32, 'datetime': '2018-12-18 17:02:29.740292', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.29, 'flw0': 0.5, 'time': 12.73, 'compass': 5.07, 'pitch': 1.54, 'roll': 2.97}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 51, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 95.38, 'datetime': '2018-12-18 17:02:29.949157', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.94, 'compass': 3.13, 'pitch': 1.43, 'roll': 3.22}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.71, 'state': 'normal', 'rot1': 51, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 93.6, 'datetime': '2018-12-18 17:02:30.156982', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.22, 'time': 13.14, 'compass': 1.35, 'pitch': 1.16, 'roll': 3.68}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.51, 'state': 'normal', 'rot1': 51, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 92.13, 'datetime': '2018-12-18 17:02:30.366868', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.13, 'time': 13.35, 'compass': -0.13, 'pitch': 0.9, 'roll': 4.02}
