{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:25.188664', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.37, 'lipoC2': 0.0, 'temp': 25.14, 'thr3': 35.0, 'depth': 0.119, 'time': 11.34, 'thr2': 31.0, 'yaw': 4.66, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:25.512887', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.39, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 35.0, 'depth': 0.119, 'time': 11.67, 'thr2': 31.0, 'yaw': 4.68, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:25.834116', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.4, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 35.0, 'depth': 0.119, 'time': 11.99, 'thr2': 31.0, 'yaw': 4.69, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:26.161146', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.4, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 35.0, 'depth': 0.119, 'time': 12.31, 'thr2': 31.0, 'yaw': 4.69, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:26.476884', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.4, 'lipoC2': 0.0, 'temp': 25.14, 'thr3': 35.0, 'depth': 0.119, 'time': 12.63, 'thr2': 31.0, 'yaw': 4.69, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:26.804037', 'pitch': -0.61, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.4, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 30.0, 'depth': 0.119, 'time': 12.95, 'thr2': 30.0, 'yaw': 4.69, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:27.120070', 'pitch': -0.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 2, 'flw1': 3, 'flw0': 0, 'roll': 0.22, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.39, 'lipoC2': 0.0, 'temp': 25.14, 'thr3': 31.0, 'depth': 0.119, 'time': 13.27, 'thr2': 31.0, 'yaw': 4.68, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:27.446432', 'pitch': -0.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 2, 'flw1': 4, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.45, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 13.59, 'thr2': 31.0, 'yaw': 4.74, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:27.767052', 'pitch': -0.66, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 2, 'flw1': 4, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.63, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 13.91, 'thr2': 31.0, 'yaw': 4.92, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:28.089002', 'pitch': -0.66, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 6, 'flw2': 2, 'flw1': 4, 'flw0': 1, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.63, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 14.24, 'thr2': 31.0, 'yaw': 4.92, 'thr0': 26.0, 'thr1': 27.0}
