{'lipoC2': 7.88, 'temp': 0.0, 'lipoC3S3': 11.77, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': 91.89, 'datetime': '2018-12-12 11:25:04.462770', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.03, 'flw0': 0.0, 'time': 12.85, 'compass': 30.6, 'pitch': -8.45, 'roll': 2.29}
{'lipoC2': 8.05, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 3.369, 'yaw': 93.76, 'datetime': '2018-12-12 11:25:04.675135', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 13.06, 'compass': 32.48, 'pitch': -7.11, 'roll': 1.88}
{'lipoC2': 7.87, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 3.674, 'yaw': 95.37, 'datetime': '2018-12-12 11:25:04.878811', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.27, 'compass': 34.09, 'pitch': -6.12, 'roll': 1.52}
{'lipoC2': 8.05, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 96.69, 'datetime': '2018-12-12 11:25:05.088326', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 13.48, 'compass': 35.4, 'pitch': -5.39, 'roll': 1.23}
{'lipoC2': 7.81, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 4.514, 'yaw': 97.89, 'datetime': '2018-12-12 11:25:05.298460', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.18, 'time': 13.69, 'compass': 36.6, 'pitch': -5.05, 'roll': 1.06}
{'lipoC2': 7.79, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': 98.97, 'datetime': '2018-12-12 11:25:05.505769', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.0, 'time': 13.9, 'compass': 37.69, 'pitch': -5.45, 'roll': 1.0}
{'lipoC2': 7.97, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 2.225, 'yaw': 99.89, 'datetime': '2018-12-12 11:25:05.714401', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.0, 'time': 14.1, 'compass': 38.6, 'pitch': -6.52, 'roll': 1.19}
{'lipoC2': 7.83, 'temp': 0.0, 'lipoC3S3': 11.75, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 4.59, 'yaw': 100.58, 'datetime': '2018-12-12 11:25:05.927388', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 14.31, 'compass': 39.3, 'pitch': -7.9, 'roll': 1.58}
{'lipoC2': 7.8, 'temp': 0.0, 'lipoC3S3': 11.97, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 4.895, 'yaw': 101.08, 'datetime': '2018-12-12 11:25:06.134487', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.52, 'compass': 39.79, 'pitch': -9.26, 'roll': 2.02}
{'lipoC2': 7.78, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': 101.38, 'datetime': '2018-12-12 11:25:06.344316', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 14.73, 'compass': 40.09, 'pitch': -10.53, 'roll': 2.53}
{'lipoC2': 8.06, 'temp': 0.0, 'lipoC3S3': 11.83, 'state': 'normal', 'rot1': 291, 'rot0': 215, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 101.5, 'datetime': '2018-12-12 11:25:06.552119', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.0, 'time': 14.94, 'compass': 40.21, 'pitch': -11.36, 'roll': 3.0}
