{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.63, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -85.69, 'datetime': '2018-12-12 14:15:39.477420', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 10.95, 'compass': -0.16, 'pitch': -0.78, 'roll': 1.15}
{'lipoC2': 7.56, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -86.85, 'datetime': '2018-12-12 14:15:39.684446', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 11.16, 'compass': -1.33, 'pitch': -1.03, 'roll': 0.62}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.34, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': -87.89, 'datetime': '2018-12-12 14:15:39.892388', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.37, 'compass': -2.37, 'pitch': -1.64, 'roll': -0.05}
{'lipoC2': 7.5, 'temp': 0.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -88.82, 'datetime': '2018-12-12 14:15:40.101552', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.0, 'flw0': 0.27, 'time': 11.58, 'compass': -3.3, 'pitch': -1.81, 'roll': -0.67}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.38, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -89.67, 'datetime': '2018-12-12 14:15:40.311108', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.23, 'time': 11.78, 'compass': -4.15, 'pitch': -1.23, 'roll': -0.77}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -90.46, 'datetime': '2018-12-12 14:15:40.520417', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 11.99, 'compass': -4.94, 'pitch': -0.65, 'roll': -0.09}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -91.16, 'datetime': '2018-12-12 14:15:40.734424', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 12.2, 'compass': -5.63, 'pitch': -0.97, 'roll': 0.69}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': -91.83, 'datetime': '2018-12-12 14:15:40.939633', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.41, 'compass': -6.3, 'pitch': -1.71, 'roll': 0.88}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -92.5, 'datetime': '2018-12-12 14:15:41.147265', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.62, 'compass': -6.98, 'pitch': -1.57, 'roll': 0.35}
{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -93.16, 'datetime': '2018-12-12 14:15:41.356108', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.0, 'time': 12.83, 'compass': -7.63, 'pitch': -0.82, 'roll': -0.29}
