{'lipoC2': 7.58, 'temp': 25.25, 'lipoC3S3': 11.97, 'state': 'normal', 'rot1': 1756, 'rot0': 230, 'rot3': 35, 'rot2': 50, 'depth': -0.14, 'yaw': -0.33, 'datetime': '2018-11-26 11:30:59.487784', 'mgs': 0, 'flw2': 2.22, 'flw1': 2.67, 'flw0': 2.33, 'time': 8.88, 'compass': -15.64, 'pitch': 2.09, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 1804, 'rot0': 237, 'rot3': 36, 'rot2': 52, 'depth': -0.14, 'yaw': -0.33, 'datetime': '2018-11-26 11:30:59.698633', 'mgs': 0, 'flw2': 2.27, 'flw1': 2.46, 'flw0': 2.33, 'time': 9.09, 'compass': -15.64, 'pitch': 2.09, 'roll': -6.33}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 1853, 'rot0': 243, 'rot3': 37, 'rot2': 53, 'depth': -0.14, 'yaw': -0.34, 'datetime': '2018-11-26 11:30:59.911177', 'mgs': 0, 'flw2': 2.25, 'flw1': 2.58, 'flw0': 2.31, 'time': 9.3, 'compass': -15.66, 'pitch': 2.12, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 1903, 'rot0': 249, 'rot3': 38, 'rot2': 54, 'depth': -0.14, 'yaw': -0.35, 'datetime': '2018-11-26 11:31:00.123415', 'mgs': 0, 'flw2': 2.12, 'flw1': 2.67, 'flw0': 2.15, 'time': 9.51, 'compass': -15.66, 'pitch': 2.12, 'roll': -6.36}
{'lipoC2': 7.61, 'temp': 25.25, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 1952, 'rot0': 256, 'rot3': 39, 'rot2': 56, 'depth': 0.699, 'yaw': -0.35, 'datetime': '2018-11-26 11:31:00.334598', 'mgs': 0, 'flw2': 2.2, 'flw1': 2.81, 'flw0': 2.12, 'time': 9.72, 'compass': -15.66, 'pitch': 2.14, 'roll': -6.36}
{'lipoC2': 7.58, 'temp': 25.25, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 2002, 'rot0': 262, 'rot3': 40, 'rot2': 57, 'depth': -0.14, 'yaw': -0.37, 'datetime': '2018-11-26 11:31:00.545148', 'mgs': 0, 'flw2': 2.17, 'flw1': 2.64, 'flw0': 2.21, 'time': 9.94, 'compass': -15.68, 'pitch': 2.13, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 2050, 'rot0': 268, 'rot3': 41, 'rot2': 59, 'depth': -0.522, 'yaw': -0.38, 'datetime': '2018-11-26 11:31:00.761708', 'mgs': 0, 'flw2': 2.14, 'flw1': 2.58, 'flw0': 2.21, 'time': 10.15, 'compass': -15.69, 'pitch': 2.14, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 2100, 'rot0': 274, 'rot3': 42, 'rot2': 60, 'depth': 1.233, 'yaw': -0.39, 'datetime': '2018-11-26 11:31:00.974570', 'mgs': 0, 'flw2': 2.26, 'flw1': 2.55, 'flw0': 2.29, 'time': 10.36, 'compass': -15.71, 'pitch': 2.13, 'roll': -6.34}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 2150, 'rot0': 281, 'rot3': 43, 'rot2': 62, 'depth': -0.14, 'yaw': -0.4, 'datetime': '2018-11-26 11:31:01.186140', 'mgs': 0, 'flw2': 2.12, 'flw1': 2.67, 'flw0': 2.37, 'time': 10.57, 'compass': -15.71, 'pitch': 2.14, 'roll': -6.33}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 2199, 'rot0': 287, 'rot3': 44, 'rot2': 63, 'depth': -0.217, 'yaw': -0.42, 'datetime': '2018-11-26 11:31:01.395538', 'mgs': 0, 'flw2': 2.21, 'flw1': 2.55, 'flw0': 2.25, 'time': 10.78, 'compass': -15.73, 'pitch': 2.14, 'roll': -6.34}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 2249, 'rot0': 294, 'rot3': 45, 'rot2': 64, 'depth': -0.14, 'yaw': -0.42, 'datetime': '2018-11-26 11:31:01.606746', 'mgs': 0, 'flw2': 2.16, 'flw1': 2.61, 'flw0': 2.2, 'time': 11.0, 'compass': -15.73, 'pitch': 2.15, 'roll': -6.34}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 2299, 'rot0': 300, 'rot3': 46, 'rot2': 66, 'depth': -0.217, 'yaw': -0.44, 'datetime': '2018-11-26 11:31:01.820683', 'mgs': 0, 'flw2': 2.26, 'flw1': 2.84, 'flw0': 2.2, 'time': 11.21, 'compass': -15.75, 'pitch': 2.15, 'roll': -6.33}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.1, 'state': 'normal', 'rot1': 2348, 'rot0': 307, 'rot3': 47, 'rot2': 67, 'depth': -0.14, 'yaw': -0.44, 'datetime': '2018-11-26 11:31:02.030629', 'mgs': 0, 'flw2': 2.28, 'flw1': 2.58, 'flw0': 2.25, 'time': 11.42, 'compass': -15.75, 'pitch': 2.17, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 2397, 'rot0': 313, 'rot3': 47, 'rot2': 69, 'depth': -0.14, 'yaw': -0.44, 'datetime': '2018-11-26 11:31:02.244369', 'mgs': 0, 'flw2': 2.25, 'flw1': 2.52, 'flw0': 2.38, 'time': 11.63, 'compass': -15.75, 'pitch': 2.19, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 2446, 'rot0': 319, 'rot3': 48, 'rot2': 70, 'depth': 1.004, 'yaw': -0.46, 'datetime': '2018-11-26 11:31:02.454769', 'mgs': 0, 'flw2': 2.36, 'flw1': 2.78, 'flw0': 2.1, 'time': 11.85, 'compass': -15.77, 'pitch': 2.2, 'roll': -6.34}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 2496, 'rot0': 325, 'rot3': 50, 'rot2': 72, 'depth': 0.928, 'yaw': -0.48, 'datetime': '2018-11-26 11:31:02.667539', 'mgs': 0, 'flw2': 2.28, 'flw1': 2.49, 'flw0': 2.17, 'time': 12.06, 'compass': -15.79, 'pitch': 2.2, 'roll': -6.32}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 2546, 'rot0': 332, 'rot3': 51, 'rot2': 73, 'depth': -0.14, 'yaw': -0.5, 'datetime': '2018-11-26 11:31:02.878541', 'mgs': 0, 'flw2': 2.2, 'flw1': 2.49, 'flw0': 2.23, 'time': 12.27, 'compass': -15.81, 'pitch': 2.2, 'roll': -6.31}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 2595, 'rot0': 338, 'rot3': 52, 'rot2': 74, 'depth': -0.217, 'yaw': -0.5, 'datetime': '2018-11-26 11:31:03.092410', 'mgs': 0, 'flw2': 2.16, 'flw1': 2.31, 'flw0': 2.21, 'time': 12.48, 'compass': -15.81, 'pitch': 2.22, 'roll': -6.31}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 2644, 'rot0': 345, 'rot3': 53, 'rot2': 76, 'depth': -0.14, 'yaw': -0.51, 'datetime': '2018-11-26 11:31:03.304748', 'mgs': 0, 'flw2': 2.19, 'flw1': 2.37, 'flw0': 2.22, 'time': 12.69, 'compass': -15.82, 'pitch': 2.24, 'roll': -6.28}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 2693, 'rot0': 351, 'rot3': 54, 'rot2': 77, 'depth': 0.699, 'yaw': -0.53, 'datetime': '2018-11-26 11:31:03.512890', 'mgs': 0, 'flw2': 2.28, 'flw1': 2.58, 'flw0': 2.23, 'time': 12.9, 'compass': -15.84, 'pitch': 2.27, 'roll': -6.28}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 2743, 'rot0': 357, 'rot3': 55, 'rot2': 79, 'depth': 0.47, 'yaw': -0.54, 'datetime': '2018-11-26 11:31:03.725297', 'mgs': 0, 'flw2': 2.34, 'flw1': 2.52, 'flw0': 2.06, 'time': 13.12, 'compass': -15.85, 'pitch': 2.28, 'roll': -6.28}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 2793, 'rot0': 364, 'rot3': 56, 'rot2': 80, 'depth': -0.14, 'yaw': -0.55, 'datetime': '2018-11-26 11:31:03.937028', 'mgs': 0, 'flw2': 2.21, 'flw1': 2.4, 'flw0': 2.25, 'time': 13.33, 'compass': -15.86, 'pitch': 2.28, 'roll': -6.29}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 2841, 'rot0': 370, 'rot3': 57, 'rot2': 82, 'depth': 1.233, 'yaw': -0.55, 'datetime': '2018-11-26 11:31:04.149572', 'mgs': 0, 'flw2': 2.21, 'flw1': 2.78, 'flw0': 2.23, 'time': 13.54, 'compass': -15.86, 'pitch': 2.28, 'roll': -6.3}
