{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:25.575314', 'pitch': 1.31, 'rot1': 516, 'rot0': 417, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.94, 'cur2': 2.62, 'cur0': 0.4, 'cur1': 0.0, 'mgs': 0, 'compass': -112.29, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.129, 'time': 12.97, 'thr2': 31.0, 'yaw': -116.25, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:25.893605', 'pitch': 1.69, 'rot1': 523, 'rot0': 428, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.34, 'cur2': 2.8, 'cur0': 0.57, 'cur1': 0.0, 'mgs': 0, 'compass': -109.71, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 37.0, 'depth': 0.119, 'time': 13.29, 'thr2': 32.0, 'yaw': -113.67, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:26.216534', 'pitch': 1.83, 'rot1': 528, 'rot0': 438, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.21, 'cur2': 2.7, 'cur0': 0.24, 'cur1': 0.0, 'mgs': 0, 'compass': -89.08, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 13.62, 'thr2': 31.0, 'yaw': -93.04, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:26.543099', 'pitch': 1.57, 'rot1': 530, 'rot0': 447, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.5, 'cur2': 2.66, 'cur0': 0.28, 'cur1': 0.0, 'mgs': 0, 'compass': -61.26, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 13.94, 'thr2': 31.0, 'yaw': -65.22, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:26.856694', 'pitch': 1.06, 'rot1': 539, 'rot0': 458, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.57, 'cur2': 2.7, 'cur0': 1.07, 'cur1': 0.0, 'mgs': 0, 'compass': -35.38, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 14.26, 'thr2': 31.0, 'yaw': -39.34, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:27.179565', 'pitch': 0.71, 'rot1': 547, 'rot0': 469, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.4, 'cur2': 2.8, 'cur0': 2.0, 'cur1': 0.0, 'mgs': 0, 'compass': -10.97, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 14.58, 'thr2': 31.0, 'yaw': -14.93, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:27.504150', 'pitch': 0.69, 'rot1': 562, 'rot0': 479, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.24, 'cur2': 2.69, 'cur0': 2.92, 'cur1': 0.0, 'mgs': 0, 'compass': 11.02, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 14.91, 'thr2': 31.0, 'yaw': 7.06, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:27.827115', 'pitch': 0.7, 'rot1': 576, 'rot0': 490, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.09, 'cur2': 2.16, 'cur0': 2.75, 'cur1': 0.0, 'mgs': 0, 'compass': 23.91, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 15.23, 'thr2': 31.0, 'yaw': 19.95, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:28.150726', 'pitch': 0.67, 'rot1': 591, 'rot0': 498, 'rot3': 180, 'rot2': 230, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.05, 'cur2': 2.12, 'cur0': 2.72, 'cur1': 0.0, 'mgs': 0, 'compass': 22.43, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 15.55, 'thr2': 31.0, 'yaw': 18.47, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:28.472715', 'pitch': 0.66, 'rot1': 608, 'rot0': 507, 'rot3': 180, 'rot2': 230, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.05, 'cur2': 2.37, 'cur0': 2.72, 'cur1': 0.0, 'mgs': 0, 'compass': 10.39, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 15.88, 'thr2': 31.0, 'yaw': 6.43, 'thr0': 27.0, 'thr1': 27.0}
