{'lipoC2': 7.18, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 57, 'rot0': 48, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': -135.48, 'datetime': '2018-12-12 14:38:20.902234', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.0, 'flw0': 0.29, 'time': 10.86, 'compass': 4.98, 'pitch': -3.46, 'roll': -0.66}
{'lipoC2': 7.25, 'temp': 0.0, 'lipoC3S3': 11.1, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -137.73, 'datetime': '2018-12-12 14:38:21.111294', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.0, 'flw0': 0.13, 'time': 11.07, 'compass': 2.73, 'pitch': -3.17, 'roll': -0.79}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.05, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -139.71, 'datetime': '2018-12-12 14:38:21.321713', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.27, 'time': 11.28, 'compass': 0.75, 'pitch': -3.2, 'roll': -0.81}
{'lipoC2': 7.15, 'temp': 0.0, 'lipoC3S3': 11.09, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -141.46, 'datetime': '2018-12-12 14:38:21.530925', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 11.49, 'compass': -1.0, 'pitch': -3.53, 'roll': -0.57}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.26, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -142.92, 'datetime': '2018-12-12 14:38:21.740314', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.0, 'flw0': 0.33, 'time': 11.7, 'compass': -2.46, 'pitch': -3.56, 'roll': -0.19}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -144.27, 'datetime': '2018-12-12 14:38:21.949272', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.0, 'time': 11.91, 'compass': -3.81, 'pitch': -2.76, 'roll': -0.04}
{'lipoC2': 7.13, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -145.49, 'datetime': '2018-12-12 14:38:22.157484', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.12, 'compass': -5.03, 'pitch': -2.18, 'roll': -0.4}
{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': -146.6, 'datetime': '2018-12-12 14:38:22.366581', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 12.32, 'compass': -6.14, 'pitch': -2.78, 'roll': -0.82}
{'lipoC2': 7.14, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': -147.57, 'datetime': '2018-12-12 14:38:22.576911', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.0, 'time': 12.53, 'compass': -7.11, 'pitch': -3.89, 'roll': -0.92}
{'lipoC2': 7.32, 'temp': 0.0, 'lipoC3S3': 11.03, 'state': 'normal', 'rot1': 59, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': -148.45, 'datetime': '2018-12-12 14:38:22.787619', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.23, 'flw0': 0.04, 'time': 12.74, 'compass': -7.99, 'pitch': -4.03, 'roll': -0.73}
