{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 135.14, 'datetime': '2018-12-12 10:57:28.330572', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.0, 'time': 10.72, 'compass': 149.9, 'pitch': -3.23, 'roll': 0.25}
{'lipoC2': 8.14, 'temp': 0.0, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 135.59, 'datetime': '2018-12-12 10:57:28.537999', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.13, 'time': 10.93, 'compass': 150.35, 'pitch': -3.63, 'roll': 0.17}
{'lipoC2': 7.95, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 135.94, 'datetime': '2018-12-12 10:57:28.747567', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.13, 'compass': 150.69, 'pitch': -4.51, 'roll': 0.07}
{'lipoC2': 8.04, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.377, 'yaw': 136.19, 'datetime': '2018-12-12 10:57:28.956312', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.0, 'flw0': 0.28, 'time': 11.34, 'compass': 150.95, 'pitch': -5.32, 'roll': -0.0}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 12.17, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 136.39, 'datetime': '2018-12-12 10:57:29.164478', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.03, 'flw0': 0.0, 'time': 11.55, 'compass': 151.14, 'pitch': -5.68, 'roll': -0.01}
{'lipoC2': 8.2, 'temp': 0.0, 'lipoC3S3': 12.01, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 136.5, 'datetime': '2018-12-12 10:57:29.373485', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.76, 'compass': 151.25, 'pitch': -5.68, 'roll': 0.16}
{'lipoC2': 7.99, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 136.65, 'datetime': '2018-12-12 10:57:29.582313', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.0, 'time': 11.97, 'compass': 151.41, 'pitch': -5.61, 'roll': 0.38}
{'lipoC2': 8.15, 'temp': 0.0, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 136.73, 'datetime': '2018-12-12 10:57:29.790680', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.18, 'compass': 151.48, 'pitch': -5.56, 'roll': 0.47}
{'lipoC2': 7.99, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 136.75, 'datetime': '2018-12-12 10:57:29.997464', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.0, 'flw0': 0.17, 'time': 12.39, 'compass': 151.5, 'pitch': -5.22, 'roll': 0.58}
{'lipoC2': 7.98, 'temp': 0.0, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 136.75, 'datetime': '2018-12-12 10:57:30.205638', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.0, 'time': 12.59, 'compass': 151.5, 'pitch': -4.33, 'roll': 0.71}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 136.75, 'datetime': '2018-12-12 10:57:30.415247', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.34, 'time': 12.8, 'compass': 151.51, 'pitch': -3.71, 'roll': 0.64}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.835, 'yaw': 136.78, 'datetime': '2018-12-12 10:57:30.627007', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.0, 'flw0': 0.23, 'time': 13.01, 'compass': 151.54, 'pitch': -4.02, 'roll': 0.32}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 136.8, 'datetime': '2018-12-12 10:57:30.837349', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.76, 'flw0': 0.0, 'time': 13.22, 'compass': 151.56, 'pitch': -4.34, 'roll': 0.28}
