{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': 90.93, 'datetime': '2018-12-18 17:56:36.029957', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.18, 'time': 9.8, 'compass': -124.73, 'pitch': 0.5, 'roll': 0.69}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 84.67, 'datetime': '2018-12-18 17:56:36.240009', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 10.01, 'compass': -130.99, 'pitch': 0.62, 'roll': 0.67}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.56, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 78.93, 'datetime': '2018-12-18 17:56:36.447593', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.21, 'time': 10.22, 'compass': -136.74, 'pitch': 0.36, 'roll': 0.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 73.86, 'datetime': '2018-12-18 17:56:36.656511', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 10.42, 'compass': -141.8, 'pitch': -0.02, 'roll': -0.15}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 68.96, 'datetime': '2018-12-18 17:56:36.865478', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 10.63, 'compass': -146.71, 'pitch': -0.09, 'roll': -0.26}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 64.42, 'datetime': '2018-12-18 17:56:37.074745', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.41, 'flw0': 0.0, 'time': 10.84, 'compass': -151.25, 'pitch': 0.23, 'roll': -0.11}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 60.36, 'datetime': '2018-12-18 17:56:37.283121', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.22, 'time': 11.05, 'compass': -155.3, 'pitch': 0.58, 'roll': 0.24}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.56, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 57.27, 'datetime': '2018-12-18 17:56:37.494594', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.29, 'flw0': 0.0, 'time': 11.26, 'compass': -158.39, 'pitch': -0.84, 'roll': 1.14}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 55.24, 'datetime': '2018-12-18 17:56:37.702745', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.15, 'flw0': 0.0, 'time': 11.47, 'compass': -160.43, 'pitch': -2.39, 'roll': 1.87}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': 54.13, 'datetime': '2018-12-18 17:56:37.912467', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.44, 'flw0': 0.0, 'time': 11.68, 'compass': -161.54, 'pitch': -2.25, 'roll': 1.76}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': 54.22, 'datetime': '2018-12-18 17:56:38.120262', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 11.88, 'compass': -161.45, 'pitch': -2.38, 'roll': 1.37}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 54.59, 'datetime': '2018-12-18 17:56:38.329222', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.09, 'compass': -161.08, 'pitch': -1.92, 'roll': 0.58}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 55.06, 'datetime': '2018-12-18 17:56:38.537545', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.18, 'time': 12.3, 'compass': -160.6, 'pitch': -1.61, 'roll': 0.01}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': 55.37, 'datetime': '2018-12-18 17:56:38.747591', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.06, 'time': 12.51, 'compass': -160.3, 'pitch': -0.89, 'roll': -0.05}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': 55.64, 'datetime': '2018-12-18 17:56:39.056681', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.82, 'compass': -160.02, 'pitch': -0.91, 'roll': 0.7}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.17, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 55.65, 'datetime': '2018-12-18 17:56:39.264523', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.22, 'time': 13.03, 'compass': -160.01, 'pitch': -0.65, 'roll': 1.13}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 55.65, 'datetime': '2018-12-18 17:56:39.473844', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.2, 'time': 13.24, 'compass': -160.01, 'pitch': -0.25, 'roll': 1.22}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.42, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': 55.66, 'datetime': '2018-12-18 17:56:39.683947', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.45, 'compass': -160.01, 'pitch': -0.05, 'roll': 1.03}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 55.74, 'datetime': '2018-12-18 17:56:39.893208', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.06, 'time': 13.66, 'compass': -159.92, 'pitch': -0.05, 'roll': 0.87}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 55.92, 'datetime': '2018-12-18 17:56:40.102384', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.87, 'compass': -159.74, 'pitch': -0.06, 'roll': 0.86}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 55.94, 'datetime': '2018-12-18 17:56:40.311330', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.18, 'time': 14.08, 'compass': -159.73, 'pitch': -0.19, 'roll': 0.86}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': 55.94, 'datetime': '2018-12-18 17:56:40.522367', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 14.28, 'compass': -159.73, 'pitch': -0.2, 'roll': 0.9}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': 55.94, 'datetime': '2018-12-18 17:56:40.730871', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.04, 'time': 14.49, 'compass': -159.72, 'pitch': -0.07, 'roll': 1.06}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': 55.94, 'datetime': '2018-12-18 17:56:40.939890', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.16, 'time': 14.7, 'compass': -159.73, 'pitch': -0.1, 'roll': 1.12}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 75, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 55.93, 'datetime': '2018-12-18 17:56:41.148752', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.18, 'time': 14.91, 'compass': -159.73, 'pitch': -0.23, 'roll': 1.07}
