{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.225, 'yaw': -8.4, 'datetime': '2018-12-12 10:35:08.309712', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 10.0, 'compass': -149.81, 'pitch': -0.96, 'roll': 3.68}
{'lipoC2': 8.38, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -8.41, 'datetime': '2018-12-12 10:35:08.518371', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.32, 'time': 10.21, 'compass': -149.82, 'pitch': -1.17, 'roll': 3.68}
{'lipoC2': 8.37, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -8.42, 'datetime': '2018-12-12 10:35:08.728536', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.42, 'compass': -149.82, 'pitch': -1.22, 'roll': 3.68}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 12.58, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -8.44, 'datetime': '2018-12-12 10:35:08.937284', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.63, 'compass': -149.85, 'pitch': -1.03, 'roll': 3.61}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 12.1, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:09.145185', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.83, 'compass': -149.98, 'pitch': -0.97, 'roll': 3.21}
{'lipoC2': 8.29, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:09.353981', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.31, 'time': 11.04, 'compass': -149.98, 'pitch': -0.94, 'roll': 2.85}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.377, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:09.562975', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.25, 'compass': -149.97, 'pitch': -0.75, 'roll': 2.71}
{'lipoC2': 8.31, 'temp': 0.0, 'lipoC3S3': 12.26, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:09.771038', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.26, 'time': 11.46, 'compass': -149.98, 'pitch': -0.82, 'roll': 2.68}
{'lipoC2': 8.22, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': -8.56, 'datetime': '2018-12-12 10:35:09.979021', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.67, 'compass': -149.97, 'pitch': -1.32, 'roll': 2.68}
{'lipoC2': 8.38, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:10.187648', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.28, 'time': 11.88, 'compass': -149.98, 'pitch': -1.5, 'roll': 2.68}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:10.397732', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 12.08, 'compass': -149.98, 'pitch': -1.13, 'roll': 2.74}
{'lipoC2': 8.17, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -8.57, 'datetime': '2018-12-12 10:35:10.606519', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 12.29, 'compass': -149.98, 'pitch': -0.94, 'roll': 3.0}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': -8.58, 'datetime': '2018-12-12 10:35:10.814499', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.7, 'flw0': 0.0, 'time': 12.5, 'compass': -149.99, 'pitch': -1.34, 'roll': 3.2}
{'lipoC2': 8.2, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.53, 'yaw': -8.58, 'datetime': '2018-12-12 10:35:11.021701', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.71, 'compass': -149.98, 'pitch': -1.62, 'roll': 3.19}
