{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 10.97, 'state': 'normal', 'rot1': 92, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -81.94, 'datetime': '2018-12-12 14:38:51.708029', 'mgs': 0, 'flw2': 5.86, 'flw1': 0.0, 'flw0': 6.97, 'time': 11.15, 'compass': -82.94, 'pitch': 5.92, 'roll': 2.83}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.02, 'state': 'normal', 'rot1': 95, 'rot0': 96, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -81.55, 'datetime': '2018-12-12 14:38:51.916638', 'mgs': 0, 'flw2': 5.75, 'flw1': 0.0, 'flw0': 6.48, 'time': 11.36, 'compass': -82.55, 'pitch': 5.4, 'roll': 2.66}
{'lipoC2': 7.17, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 98, 'rot0': 99, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': -81.62, 'datetime': '2018-12-12 14:38:52.137765', 'mgs': 0, 'flw2': 6.04, 'flw1': 0.59, 'flw0': 6.45, 'time': 11.57, 'compass': -82.63, 'pitch': 4.31, 'roll': 1.83}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 11.02, 'state': 'normal', 'rot1': 104, 'rot0': 104, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -81.98, 'datetime': '2018-12-12 14:38:52.437595', 'mgs': 0, 'flw2': 5.86, 'flw1': 0.0, 'flw0': 7.2, 'time': 11.88, 'compass': -82.98, 'pitch': 3.19, 'roll': 0.63}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 10.98, 'state': 'normal', 'rot1': 107, 'rot0': 107, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -81.98, 'datetime': '2018-12-12 14:38:52.646340', 'mgs': 0, 'flw2': 5.73, 'flw1': 0.0, 'flw0': 6.27, 'time': 12.09, 'compass': -82.99, 'pitch': 3.06, 'roll': 0.71}
{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 10.97, 'state': 'normal', 'rot1': 111, 'rot0': 110, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -81.98, 'datetime': '2018-12-12 14:38:52.856748', 'mgs': 0, 'flw2': 4.47, 'flw1': 0.0, 'flw0': 6.8, 'time': 12.3, 'compass': -82.99, 'pitch': 3.63, 'roll': 1.04}
{'lipoC2': 7.24, 'temp': 0.0, 'lipoC3S3': 10.97, 'state': 'normal', 'rot1': 115, 'rot0': 114, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -82.47, 'datetime': '2018-12-12 14:38:53.066922', 'mgs': 0, 'flw2': 4.68, 'flw1': 0.0, 'flw0': 6.54, 'time': 12.51, 'compass': -83.48, 'pitch': 3.83, 'roll': 1.19}
{'lipoC2': 7.25, 'temp': 0.0, 'lipoC3S3': 11.06, 'state': 'normal', 'rot1': 119, 'rot0': 117, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': -83.38, 'datetime': '2018-12-12 14:38:53.276472', 'mgs': 0, 'flw2': 4.33, 'flw1': 0.41, 'flw0': 6.57, 'time': 12.72, 'compass': -84.39, 'pitch': 3.52, 'roll': 1.16}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 10.84, 'state': 'normal', 'rot1': 123, 'rot0': 120, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -84.5, 'datetime': '2018-12-12 14:38:53.486218', 'mgs': 0, 'flw2': 4.21, 'flw1': 0.0, 'flw0': 6.99, 'time': 12.93, 'compass': -85.51, 'pitch': 3.6, 'roll': 0.84}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 10.96, 'state': 'normal', 'rot1': 127, 'rot0': 123, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': -85.9, 'datetime': '2018-12-12 14:38:53.694306', 'mgs': 0, 'flw2': 4.82, 'flw1': 0.0, 'flw0': 6.59, 'time': 13.14, 'compass': -86.91, 'pitch': 4.01, 'roll': 0.4}
