{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 21, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': -87.53, 'datetime': '2018-12-18 20:46:22.850062', 'mgs': 0, 'flw2': 2.95, 'flw1': 0.0, 'flw0': 2.94, 'time': 8.54, 'compass': -93.8, 'pitch': 5.27, 'roll': -0.81}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 23, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -89.67, 'datetime': '2018-12-18 20:46:23.059371', 'mgs': 0, 'flw2': 2.47, 'flw1': 0.41, 'flw0': 2.97, 'time': 8.75, 'compass': -95.93, 'pitch': 5.03, 'roll': -1.32}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 25, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': -91.5, 'datetime': '2018-12-18 20:46:23.268154', 'mgs': 0, 'flw2': 2.94, 'flw1': 0.0, 'flw0': 1.16, 'time': 8.95, 'compass': -97.77, 'pitch': 5.7, 'roll': -1.54}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 26, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -92.36, 'datetime': '2018-12-18 20:46:23.477493', 'mgs': 0, 'flw2': 2.69, 'flw1': 0.0, 'flw0': 0.28, 'time': 9.16, 'compass': -98.63, 'pitch': 5.12, 'roll': -1.19}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 27, 'rot0': 30, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -90.92, 'datetime': '2018-12-18 20:46:23.686188', 'mgs': 0, 'flw2': 2.94, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.37, 'compass': -97.18, 'pitch': 3.06, 'roll': -0.31}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 11.72, 'state': 'normal', 'rot1': 27, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -87.89, 'datetime': '2018-12-18 20:46:23.894321', 'mgs': 0, 'flw2': 2.87, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.58, 'compass': -94.15, 'pitch': 2.24, 'roll': 0.5}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 27, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': -83.63, 'datetime': '2018-12-18 20:46:24.103163', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.06, 'flw0': 3.26, 'time': 9.79, 'compass': -89.89, 'pitch': 2.77, 'roll': 1.03}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 30, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -81.58, 'datetime': '2018-12-18 20:46:24.311262', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.21, 'flw0': 2.67, 'time': 10.0, 'compass': -87.85, 'pitch': 3.39, 'roll': 0.55}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 32, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -83.1, 'datetime': '2018-12-18 20:46:24.521220', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.15, 'flw0': 2.59, 'time': 10.21, 'compass': -89.36, 'pitch': 3.11, 'roll': -0.4}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 34, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': -86.77, 'datetime': '2018-12-18 20:46:24.730202', 'mgs': 0, 'flw2': 2.89, 'flw1': 0.23, 'flw0': 0.13, 'time': 10.42, 'compass': -93.03, 'pitch': 2.16, 'roll': -1.09}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 34, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': -1.971, 'yaw': -88.37, 'datetime': '2018-12-18 20:46:24.938171', 'mgs': 0, 'flw2': 2.55, 'flw1': 0.35, 'flw0': 0.0, 'time': 10.62, 'compass': -94.64, 'pitch': 1.66, 'roll': -0.61}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.71, 'state': 'normal', 'rot1': 34, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': -86.81, 'datetime': '2018-12-18 20:46:25.146230', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.32, 'flw0': 0.0, 'time': 10.83, 'compass': -93.07, 'pitch': 2.26, 'roll': 0.42}
{'lipoC2': 0.25, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 34, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -85.42, 'datetime': '2018-12-18 20:46:25.355534', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.04, 'compass': -91.69, 'pitch': 2.01, 'roll': 0.66}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 34, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -2.353, 'yaw': -84.43, 'datetime': '2018-12-18 20:46:25.561193', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.25, 'compass': -90.69, 'pitch': 0.98, 'roll': 0.26}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 11.97, 'state': 'normal', 'rot1': 34, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -83.64, 'datetime': '2018-12-18 20:46:25.773598', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.46, 'compass': -89.9, 'pitch': 0.39, 'roll': -0.38}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.89, 'state': 'normal', 'rot1': 35, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': -82.8, 'datetime': '2018-12-18 20:46:25.986289', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.04, 'time': 11.67, 'compass': -89.07, 'pitch': 0.37, 'roll': -0.82}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 35, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': -82.09, 'datetime': '2018-12-18 20:46:26.196492', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.09, 'time': 11.88, 'compass': -88.36, 'pitch': 0.62, 'roll': -0.85}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 35, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -81.53, 'datetime': '2018-12-18 20:46:26.402909', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.08, 'compass': -87.79, 'pitch': 0.81, 'roll': -0.67}
