{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.55, 'state': 'normal', 'rot1': 108, 'rot0': 89, 'rot3': 1, 'rot2': 1, 'depth': -0.14, 'yaw': -21.19, 'datetime': '2018-12-12 14:21:52.173915', 'mgs': 0, 'flw2': 0.66, 'flw1': 0.32, 'flw0': 2.6, 'time': 11.27, 'compass': 1.02, 'pitch': -0.27, 'roll': -0.1}
{'lipoC2': 7.55, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 111, 'rot0': 90, 'rot3': 1, 'rot2': 1, 'depth': -1.132, 'yaw': -23.67, 'datetime': '2018-12-12 14:21:52.383350', 'mgs': 0, 'flw2': 0.54, 'flw1': 0.0, 'flw0': 2.53, 'time': 11.48, 'compass': -1.46, 'pitch': -0.77, 'roll': -0.2}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.5, 'state': 'normal', 'rot1': 113, 'rot0': 92, 'rot3': 1, 'rot2': 1, 'depth': 1.08, 'yaw': -26.4, 'datetime': '2018-12-12 14:21:52.592811', 'mgs': 0, 'flw2': 2.58, 'flw1': 0.41, 'flw0': 2.62, 'time': 11.69, 'compass': -4.19, 'pitch': 0.49, 'roll': -0.13}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 116, 'rot0': 94, 'rot3': 1, 'rot2': 1, 'depth': 1.614, 'yaw': -28.44, 'datetime': '2018-12-12 14:21:52.799337', 'mgs': 0, 'flw2': 2.89, 'flw1': 0.0, 'flw0': 0.89, 'time': 11.89, 'compass': -6.23, 'pitch': 1.65, 'roll': 0.33}
{'lipoC2': 7.43, 'temp': 0.0, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 117, 'rot0': 97, 'rot3': 1, 'rot2': 1, 'depth': -0.14, 'yaw': -28.84, 'datetime': '2018-12-12 14:21:53.008835', 'mgs': 0, 'flw2': 2.56, 'flw1': 0.0, 'flw0': 0.68, 'time': 12.1, 'compass': -6.63, 'pitch': 0.82, 'roll': 0.94}
{'lipoC2': 7.49, 'temp': 0.0, 'lipoC3S3': 11.14, 'state': 'normal', 'rot1': 118, 'rot0': 99, 'rot3': 1, 'rot2': 1, 'depth': -1.361, 'yaw': -27.75, 'datetime': '2018-12-12 14:21:53.217545', 'mgs': 0, 'flw2': 2.59, 'flw1': 0.0, 'flw0': 0.71, 'time': 12.31, 'compass': -5.54, 'pitch': -0.22, 'roll': 1.37}
{'lipoC2': 7.48, 'temp': 0.0, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 119, 'rot0': 102, 'rot3': 1, 'rot2': 1, 'depth': -1.361, 'yaw': -25.76, 'datetime': '2018-12-12 14:21:53.428411', 'mgs': 0, 'flw2': 2.72, 'flw1': 0.0, 'flw0': 0.89, 'time': 12.52, 'compass': -3.55, 'pitch': -0.01, 'roll': 1.41}
{'lipoC2': 7.54, 'temp': 0.0, 'lipoC3S3': 11.1, 'state': 'normal', 'rot1': 121, 'rot0': 104, 'rot3': 1, 'rot2': 2, 'depth': -1.285, 'yaw': -23.19, 'datetime': '2018-12-12 14:21:53.636221', 'mgs': 0, 'flw2': 2.45, 'flw1': 4.19, 'flw0': 0.77, 'time': 12.73, 'compass': -0.97, 'pitch': 0.4, 'roll': 1.21}
{'lipoC2': 7.49, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 123, 'rot0': 106, 'rot3': 3, 'rot2': 3, 'depth': 1.385, 'yaw': -20.6, 'datetime': '2018-12-12 14:21:53.846592', 'mgs': 0, 'flw2': 2.64, 'flw1': 2.55, 'flw0': 2.62, 'time': 12.94, 'compass': 1.61, 'pitch': 1.0, 'roll': 0.75}
{'lipoC2': 7.53, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 125, 'rot0': 108, 'rot3': 3, 'rot2': 3, 'depth': -1.132, 'yaw': -19.0, 'datetime': '2018-12-12 14:21:54.055373', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.0, 'flw0': 2.53, 'time': 13.15, 'compass': 3.21, 'pitch': 2.04, 'roll': 0.31}
{'lipoC2': 7.48, 'temp': 0.0, 'lipoC3S3': 11.14, 'state': 'normal', 'rot1': 128, 'rot0': 110, 'rot3': 3, 'rot2': 3, 'depth': 0.47, 'yaw': -19.19, 'datetime': '2018-12-12 14:21:54.265312', 'mgs': 0, 'flw2': 0.67, 'flw1': 0.29, 'flw0': 2.62, 'time': 13.36, 'compass': 3.02, 'pitch': 1.16, 'roll': 0.04}
{'lipoC2': 7.48, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 130, 'rot0': 111, 'rot3': 3, 'rot2': 3, 'depth': -1.361, 'yaw': -21.1, 'datetime': '2018-12-12 14:21:54.475170', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.62, 'flw0': 2.67, 'time': 13.57, 'compass': 1.11, 'pitch': -0.68, 'roll': -0.26}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.15, 'state': 'normal', 'rot1': 133, 'rot0': 113, 'rot3': 3, 'rot2': 3, 'depth': -0.522, 'yaw': -24.17, 'datetime': '2018-12-12 14:21:54.685025', 'mgs': 0, 'flw2': 2.93, 'flw1': 0.0, 'flw0': 2.92, 'time': 13.78, 'compass': -1.96, 'pitch': -0.53, 'roll': -0.54}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.46, 'state': 'normal', 'rot1': 135, 'rot0': 115, 'rot3': 3, 'rot2': 3, 'depth': -0.217, 'yaw': -26.77, 'datetime': '2018-12-12 14:21:54.897772', 'mgs': 0, 'flw2': 2.56, 'flw1': 4.1, 'flw0': 2.94, 'time': 13.99, 'compass': -4.56, 'pitch': 1.26, 'roll': -0.59}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 137, 'rot0': 117, 'rot3': 4, 'rot2': 4, 'depth': -0.293, 'yaw': -28.46, 'datetime': '2018-12-12 14:21:55.107493', 'mgs': 0, 'flw2': 2.6, 'flw1': 2.31, 'flw0': 2.77, 'time': 14.19, 'compass': -6.25, 'pitch': 2.82, 'roll': -0.58}
{'lipoC2': 7.32, 'temp': 0.0, 'lipoC3S3': 11.43, 'state': 'normal', 'rot1': 140, 'rot0': 120, 'rot3': 5, 'rot2': 5, 'depth': 1.691, 'yaw': -29.58, 'datetime': '2018-12-12 14:21:55.318381', 'mgs': 0, 'flw2': 2.67, 'flw1': 0.0, 'flw0': 0.82, 'time': 14.4, 'compass': -7.37, 'pitch': 2.77, 'roll': -0.42}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 140, 'rot0': 120, 'rot3': 5, 'rot2': 5, 'depth': 0.394, 'yaw': -29.77, 'datetime': '2018-12-12 14:21:55.528567', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.61, 'compass': -7.56, 'pitch': 0.22, 'roll': 0.22}
{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 11.26, 'state': 'normal', 'rot1': 141, 'rot0': 121, 'rot3': 5, 'rot2': 5, 'depth': -0.903, 'yaw': -30.4, 'datetime': '2018-12-12 14:21:55.834222', 'mgs': 0, 'flw2': 2.81, 'flw1': 0.0, 'flw0': 0.72, 'time': 14.93, 'compass': -8.19, 'pitch': -3.38, 'roll': 1.38}
