{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:14.190136', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.77, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 12.31, 'thr2': 31.0, 'yaw': -39.26, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:14.511958', 'pitch': -169.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.74, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.55, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 12.63, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:14.834334', 'pitch': -169.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.74, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.55, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 12.95, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:15.155742', 'pitch': -169.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.74, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.55, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 13.27, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:15.481208', 'pitch': -169.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.74, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.55, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 13.59, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:15.802695', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.55, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 13.91, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:16.124124', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 14.23, 'thr2': 31.0, 'yaw': -39.26, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:16.446543', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 14.56, 'thr2': 31.0, 'yaw': -39.26, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:16.769055', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 14.88, 'thr2': 31.0, 'yaw': -39.26, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:17.092027', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 15.2, 'thr2': 31.0, 'yaw': -39.26, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:17.413927', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 15.52, 'thr2': 31.0, 'yaw': -39.26, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:17.732234', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 15.84, 'thr2': 31.0, 'yaw': -39.26, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:18.053852', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 16.16, 'thr2': 31.0, 'yaw': -39.26, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:18.376858', 'pitch': -169.32, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.73, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 16.49, 'thr2': 31.0, 'yaw': -39.26, 'thr0': 26.0, 'thr1': 26.0}
