{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:01.845330', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.86, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:02.053634', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.07, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:02.263293', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.28, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.56, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:02.472494', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.49, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.56, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:02.681760', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.7, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:02.891531', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.91, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:03.097899', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.12, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:03.305966', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.33, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.56, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:03.515598', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.54, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:03.722733', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.74, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:03.931712', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.95, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:04.147050', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.16, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:04.350404', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.37, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:04.560442', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.58, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:04.770490', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.79, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:04.974695', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.0, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.56, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:05.184727', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.21, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:05.391614', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.42, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.56, 'lipoC3S3': 12.45, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:05.607972', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.63, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:05.812145', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.83, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
{'lipoC2': 0.0, 'temp': 29.63, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-28 11:23:06.026357', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 15.04, 'compass': 0.98, 'pitch': 1.65, 'roll': -3.97}
