{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:07.984873', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 11.07, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:08.194683', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.69, 'depth': -0.217, 'time': 11.28, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:08.405876', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 11.49, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:08.610047', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.217, 'time': 11.7, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:08.819940', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.217, 'time': 11.91, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:09.029170', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.69, 'depth': -0.217, 'time': 12.12, 'yaw': 0.0}
{'lipoC3S3': 12.41, 'datetime': '2018-11-28 11:44:09.239976', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.69, 'depth': -0.14, 'time': 12.33, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:09.452586', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.293, 'time': 12.54, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:09.660281', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.14, 'time': 12.75, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:09.869614', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.217, 'time': 12.95, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:10.075061', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 13.16, 'yaw': 0.0}
