{'interval':0.1}
{'dc_yr': -45, 'dc_xl': 0, 'dc_yl': 34, 'dc_xr': 0, 'time': 1542091437.769734}
{'dc_yr': -45, 'dc_xl': 0, 'dc_yl': 45, 'dc_xr': 0, 'time': 1542091437.773293}
{'dc_yr': -45, 'dc_xl': 0, 'dc_yl': 45, 'dc_xr': 0, 'time': 1542091437.927863}
{'dc_yr': -45, 'dc_xl': 0, 'dc_yl': 45, 'dc_xr': 0, 'time': 1542091437.931707}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 45, 'dc_xr': 0, 'time': 1542091437.935291}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091437.938799}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.097542}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.101452}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.104998}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.108521}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.258456}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.262279}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.26585}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.26936}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.423919}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.427856}
{'dc_yr': -46, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091438.431426}
{'dc_yr': -46, 'dc_xl': 0, 'dc_yl': 46, 'dc_xr': 0, 'time': 1542091438.434975}
{'dc_yr': -46, 'dc_xl': 0, 'dc_yl': 46, 'dc_xr': 0, 'time': 1542091438.590017}
{'dc_yr': -46, 'dc_xl': 0, 'dc_yl': 46, 'dc_xr': 0, 'time': 1542091438.593776}
{'dc_yr': -34, 'dc_xl': 0, 'dc_yl': 46, 'dc_xr': 0, 'time': 1542091438.597405}
{'dc_yr': -34, 'dc_xl': 0, 'dc_yl': 34, 'dc_xr': 0, 'time': 1542091438.600952}
{'dc_yr': -34, 'dc_xl': 0, 'dc_yl': 34, 'dc_xr': 0, 'time': 1542091438.754998}
{'dc_yr': -34, 'dc_xl': 0, 'dc_yl': 34, 'dc_xr': 0, 'time': 1542091438.758773}
{'dc_yr': -19, 'dc_xl': 0, 'dc_yl': 34, 'dc_xr': 0, 'time': 1542091438.762397}
{'dc_yr': -19, 'dc_xl': 0, 'dc_yl': 19, 'dc_xr': 0, 'time': 1542091438.765948}
{'dc_yr': -19, 'dc_xl': 0, 'dc_yl': 19, 'dc_xr': 0, 'time': 1542091438.920352}
{'dc_yr': -19, 'dc_xl': 0, 'dc_yl': 19, 'dc_xr': 0, 'time': 1542091438.924118}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 19, 'dc_xr': 0, 'time': 1542091438.927654}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091438.931162}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091439.086259}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091439.090267}
{'dc_yr': 15, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091439.093831}
{'dc_yr': 15, 'dc_xl': 0, 'dc_yl': -15, 'dc_xr': 0, 'time': 1542091439.097411}
{'dc_yr': 15, 'dc_xl': 0, 'dc_yl': -15, 'dc_xr': 0, 'time': 1542091439.251123}
{'dc_yr': 15, 'dc_xl': 0, 'dc_yl': -15, 'dc_xr': 0, 'time': 1542091439.255132}
{'dc_yr': 42, 'dc_xl': 0, 'dc_yl': -15, 'dc_xr': 0, 'time': 1542091439.258674}
{'dc_yr': 42, 'dc_xl': 0, 'dc_yl': -42, 'dc_xr': 0, 'time': 1542091439.262191}
{'dc_yr': 42, 'dc_xl': 0, 'dc_yl': -42, 'dc_xr': 0, 'time': 1542091439.41674}
{'dc_yr': 42, 'dc_xl': 0, 'dc_yl': -42, 'dc_xr': 0, 'time': 1542091439.420791}
{'dc_yr': 50, 'dc_xl': 0, 'dc_yl': -42, 'dc_xr': 0, 'time': 1542091439.424375}
{'dc_yr': 50, 'dc_xl': 0, 'dc_yl': -50, 'dc_xr': 0, 'time': 1542091439.427959}
{'dc_yr': 50, 'dc_xl': 0, 'dc_yl': -50, 'dc_xr': 0, 'time': 1542091439.587421}
{'dc_yr': 50, 'dc_xl': 0, 'dc_yl': -50, 'dc_xr': 0, 'time': 1542091439.591165}
{'dc_yr': 50, 'dc_xl': 0, 'dc_yl': -50, 'dc_xr': 0, 'time': 1542091439.595354}
{'dc_yr': 50, 'dc_xl': 0, 'dc_yl': -50, 'dc_xr': 0, 'time': 1542091439.598934}
{'dc_yr': 50, 'dc_xl': 0, 'dc_yl': -50, 'dc_xr': 0, 'time': 1542091439.747921}
{'dc_yr': 50, 'dc_xl': 0, 'dc_yl': -50, 'dc_xr': 0, 'time': 1542091439.751913}
{'dc_yr': 18, 'dc_xl': 0, 'dc_yl': -50, 'dc_xr': 0, 'time': 1542091439.755542}
{'dc_yr': 18, 'dc_xl': 0, 'dc_yl': -18, 'dc_xr': 0, 'time': 1542091439.75906}
{'dc_yr': 18, 'dc_xl': 0, 'dc_yl': -18, 'dc_xr': 0, 'time': 1542091439.913435}
{'dc_yr': 18, 'dc_xl': 0, 'dc_yl': -18, 'dc_xr': 0, 'time': 1542091439.917172}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': -18, 'dc_xr': 0, 'time': 1542091439.92077}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091439.924287}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091440.078689}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091440.082545}
{'dc_yr': -42, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091440.086488}
{'dc_yr': -42, 'dc_xl': 0, 'dc_yl': 42, 'dc_xr': 0, 'time': 1542091440.090042}
{'dc_yr': -42, 'dc_xl': 0, 'dc_yl': 42, 'dc_xr': 0, 'time': 1542091440.244188}
{'dc_yr': -42, 'dc_xl': 0, 'dc_yl': 42, 'dc_xr': 0, 'time': 1542091440.248206}
{'dc_yr': -45, 'dc_xl': 0, 'dc_yl': 42, 'dc_xr': 0, 'time': 1542091440.251776}
{'dc_yr': -45, 'dc_xl': 0, 'dc_yl': 45, 'dc_xr': 0, 'time': 1542091440.255322}
{'dc_yr': -45, 'dc_xl': 0, 'dc_yl': 45, 'dc_xr': 0, 'time': 1542091440.410168}
{'dc_yr': -45, 'dc_xl': 0, 'dc_yl': 45, 'dc_xr': 0, 'time': 1542091440.41417}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 45, 'dc_xr': 0, 'time': 1542091440.417809}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091440.421385}
{'dc_yr': -50, 'dc_xl': 0, 'dc_yl': 50, 'dc_xr': 0, 'time': 1542091440.575359}
