{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.263996', 'mgs': 0, 'depth': -0.446, 'time': 1.94, 'pitch': 7.03, 'roll': -0.12}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:42.271297', 'mgs': 0, 'depth': -0.446, 'time': 2.04, 'pitch': 7.04, 'roll': -0.08}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.284400', 'mgs': 0, 'depth': -0.522, 'time': 2.14, 'pitch': 7.05, 'roll': -0.11}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.297407', 'mgs': 0, 'depth': -0.522, 'time': 2.23, 'pitch': 7.04, 'roll': -0.09}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.304737', 'mgs': 0, 'depth': -0.446, 'time': 2.33, 'pitch': 7.04, 'roll': -0.11}
{'lipoC2': 7.86, 'temp': 28.88, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.318981', 'mgs': 0, 'depth': -0.446, 'time': 2.43, 'pitch': 7.03, 'roll': -0.09}
{'lipoC2': 7.86, 'temp': 28.88, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.332203', 'mgs': 0, 'depth': -0.522, 'time': 2.53, 'pitch': 7.03, 'roll': -0.09}
{'lipoC2': 7.85, 'temp': 28.88, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:42.339624', 'mgs': 0, 'depth': -0.446, 'time': 2.62, 'pitch': 7.04, 'roll': -0.08}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:42.352661', 'mgs': 0, 'depth': -0.446, 'time': 2.72, 'pitch': 7.04, 'roll': -0.08}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 20:40:42.365784', 'mgs': 0, 'depth': -0.522, 'time': 2.82, 'pitch': 7.04, 'roll': -0.06}
{'lipoC2': 7.85, 'temp': 28.88, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 20:40:42.373405', 'mgs': 0, 'depth': -0.522, 'time': 2.92, 'pitch': 7.04, 'roll': -0.06}
{'lipoC2': 7.85, 'temp': 28.88, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 20:40:42.386697', 'mgs': 0, 'depth': -0.446, 'time': 3.01, 'pitch': 7.04, 'roll': -0.06}
{'lipoC2': 7.85, 'temp': 28.88, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.400001', 'mgs': 0, 'depth': -0.446, 'time': 3.11, 'pitch': 7.05, 'roll': -0.04}
{'lipoC2': 7.86, 'temp': 28.88, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.407621', 'mgs': 0, 'depth': -0.522, 'time': 3.21, 'pitch': 7.05, 'roll': -0.06}
