{'lipoC3S3': 12.0, 'datetime': '2018-11-13 15:44:00.078958', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 12, 'rot2': 9, 'flw1': 0.26, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1857, 'duty0': 1506, 'duty3': 1507, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 16.38, 'yaw': 0.0}
{'lipoC3S3': 11.98, 'datetime': '2018-11-13 15:44:00.409147', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 13, 'rot2': 10, 'flw1': 2.61, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1920, 'duty0': 1512, 'duty3': 1513, 'duty2': 1511, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.69, 'depth': -0.14, 'time': 16.71, 'yaw': 0.0}
{'lipoC3S3': 12.0, 'datetime': '2018-11-13 15:44:00.740297', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 11, 'flw1': 2.08, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1675, 'duty0': 1506, 'duty3': 1509, 'duty2': 1518, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': 0.012, 'time': 17.04, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:44:01.071523', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 16, 'rot2': 12, 'flw1': 0.12, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1559, 'duty0': 1512, 'duty3': 1516, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.217, 'time': 17.37, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:44:01.395723', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 16, 'rot2': 12, 'flw1': 0.5, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1199, 'duty0': 1506, 'duty3': 1509, 'duty2': 1515, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.217, 'time': 17.7, 'yaw': 0.0}
{'lipoC3S3': 11.98, 'datetime': '2018-11-13 15:44:01.726286', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 17, 'rot2': 13, 'flw1': 2.7, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1158, 'duty0': 1513, 'duty3': 1516, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': 0.012, 'time': 18.03, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:44:02.064011', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 19, 'rot2': 14, 'flw1': 1.08, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1460, 'duty0': 1506, 'duty3': 1507, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.63, 'depth': -0.14, 'time': 18.37, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:44:02.394667', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 19, 'rot2': 14, 'flw1': 0.09, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1552, 'duty0': 1512, 'duty3': 1514, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.69, 'depth': -0.14, 'time': 18.7, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:44:02.725502', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 19, 'rot2': 14, 'flw1': 0.09, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1559, 'duty0': 1512, 'duty3': 1507, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.14, 'time': 19.03, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:44:03.056394', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 19, 'rot2': 14, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1552, 'duty0': 1506, 'duty3': 1513, 'duty2': 1517, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.69, 'depth': -0.14, 'time': 19.36, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:44:03.387074', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 19, 'rot2': 14, 'flw1': 0.06, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1558, 'duty0': 1512, 'duty3': 1514, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.217, 'time': 19.69, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:44:03.718040', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 19, 'rot2': 14, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1552, 'duty0': 1507, 'duty3': 1506, 'duty2': 1518, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.69, 'depth': -0.14, 'time': 20.02, 'yaw': 0.0}
