{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:30.820153', 'mgs': 0, 'depth': -0.827, 'time': 1.26, 'pitch': 1.4, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:30.845748', 'mgs': 0, 'depth': -0.903, 'time': 1.36, 'pitch': 1.4, 'roll': 1.06}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:30.862463', 'mgs': 0, 'depth': -0.827, 'time': 1.46, 'pitch': 1.39, 'roll': 1.08}
{'lipoC2': 7.77, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:30.886195', 'mgs': 0, 'depth': -0.827, 'time': 1.55, 'pitch': 1.39, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:30.909828', 'mgs': 0, 'depth': -0.827, 'time': 1.65, 'pitch': 1.39, 'roll': 1.05}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:30.926641', 'mgs': 0, 'depth': -0.827, 'time': 1.75, 'pitch': 1.39, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:30.950201', 'mgs': 0, 'depth': -0.751, 'time': 1.85, 'pitch': 1.38, 'roll': 1.05}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:30.964377', 'mgs': 0, 'depth': -0.827, 'time': 1.94, 'pitch': 1.38, 'roll': 1.1}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:30.971610', 'mgs': 0, 'depth': -0.827, 'time': 2.04, 'pitch': 1.38, 'roll': 1.06}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:30.984725', 'mgs': 0, 'depth': -0.751, 'time': 2.14, 'pitch': 1.37, 'roll': 1.12}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.19, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:30.997736', 'mgs': 0, 'depth': -0.827, 'time': 2.23, 'pitch': 1.36, 'roll': 1.07}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.005009', 'mgs': 0, 'depth': -0.827, 'time': 2.33, 'pitch': 1.35, 'roll': 1.13}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.19, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.018036', 'mgs': 0, 'depth': -0.827, 'time': 2.43, 'pitch': 1.33, 'roll': 1.1}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.031006', 'mgs': 0, 'depth': -0.903, 'time': 2.53, 'pitch': 1.33, 'roll': 1.14}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.038276', 'mgs': 0, 'depth': -0.827, 'time': 2.63, 'pitch': 1.31, 'roll': 1.1}
{'lipoC2': 7.77, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.051294', 'mgs': 0, 'depth': -0.827, 'time': 2.72, 'pitch': 1.3, 'roll': 1.15}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 21:01:31.064257', 'mgs': 0, 'depth': -0.827, 'time': 2.82, 'pitch': 1.29, 'roll': 1.11}
