{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 18:43:24.903956', 'mgs': 0, 'depth': -0.14, 'time': 4.68, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.002613', 'mgs': 0, 'depth': -0.14, 'time': 4.78, 'pitch': 0.87, 'roll': -3.77}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.100825', 'mgs': 0, 'depth': -0.14, 'time': 4.88, 'pitch': 0.86, 'roll': -3.67}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.197841', 'mgs': 0, 'depth': -0.14, 'time': 4.97, 'pitch': 0.86, 'roll': -3.76}
{'lipoC2': 8.39, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.294938', 'mgs': 0, 'depth': -0.14, 'time': 5.07, 'pitch': 0.85, 'roll': -3.69}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.393310', 'mgs': 0, 'depth': -0.064, 'time': 5.17, 'pitch': 0.85, 'roll': -3.72}
{'lipoC2': 8.4, 'temp': 27.13, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.491768', 'mgs': 0, 'depth': -0.14, 'time': 5.27, 'pitch': 0.85, 'roll': -3.75}
{'lipoC2': 8.4, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.589366', 'mgs': 0, 'depth': -0.14, 'time': 5.37, 'pitch': 0.85, 'roll': -3.72}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 18:43:25.686432', 'mgs': 0, 'depth': -0.064, 'time': 5.47, 'pitch': 0.85, 'roll': -3.77}
{'lipoC2': 8.39, 'temp': 27.19, 'lipoC3S3': 12.71, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 18:43:25.784455', 'mgs': 0, 'depth': -0.064, 'time': 5.56, 'pitch': 0.84, 'roll': -3.7}
