{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:42.102787', 'mgs': 0, 'depth': -0.369, 'time': 5.46, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:42.200732', 'mgs': 0, 'depth': -0.369, 'time': 5.56, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.05, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:42.299128', 'mgs': 0, 'depth': -0.293, 'time': 5.66, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:42.396783', 'mgs': 1, 'depth': -0.369, 'time': 5.76, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:46.920034', 'mgs': 0, 'depth': -0.293, 'time': 1.26, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:46.937724', 'mgs': 0, 'depth': -0.293, 'time': 1.36, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.05, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:46.962736', 'mgs': 0, 'depth': -0.293, 'time': 1.46, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:46.971823', 'mgs': 0, 'depth': -0.293, 'time': 1.55, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:46.986498', 'mgs': 0, 'depth': -0.293, 'time': 1.65, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:46.996504', 'mgs': 0, 'depth': -0.293, 'time': 1.75, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.015009', 'mgs': 0, 'depth': -0.293, 'time': 1.85, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.022533', 'mgs': 0, 'depth': -0.293, 'time': 1.94, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.034456', 'mgs': 0, 'depth': -0.369, 'time': 2.04, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.042084', 'mgs': 0, 'depth': -0.293, 'time': 2.14, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.054267', 'mgs': 0, 'depth': -0.293, 'time': 2.23, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.061827', 'mgs': 0, 'depth': -0.293, 'time': 2.33, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.073819', 'mgs': 0, 'depth': -0.293, 'time': 2.43, 'pitch': -3.42, 'roll': -2.59}
{'lipoC2': 8.05, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 15:40:47.081482', 'mgs': 0, 'depth': -0.293, 'time': 2.53, 'pitch': -3.42, 'roll': -2.59}
